antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
냉동,계란,0.3855353677897336,0.0475392485447168,0.018698183101076,0.0484992679355783,1.0201942483368962,0.000370121428941,1.0010089528662565,0.0322142430784929
계란,냉동,0.0475392485447168,0.3855353677897336,0.018698183101076,0.3933209647495361,1.0201942483368962,0.000370121428941,1.012833139942916,0.0207824973311644
고구,과일,0.2337978479449638,0.1327394602222614,0.0318574704533427,0.1362607514712539,1.0265278406518783,0.0008232703160018,1.0040767989355477,0.03372778340547
과일,고구,0.1327394602222614,0.2337978479449638,0.0318574704533427,0.24,1.0265278406518787,0.0008232703160018,1.0081607263882055,0.0297976202583138
국수,고구,0.0544187687422825,0.2337978479449638,0.013035808784618,0.239546191247974,1.02458681015902,0.0003128177648577,1.0075590959462006,0.02537783584353
고구,국수,0.2337978479449638,0.0544187687422825,0.013035808784618,0.0557567526784367,1.02458681015902,0.0003128177648577,1.001416990738297,0.0313191566993376
고구,김,0.2337978479449638,0.163838419474334,0.0391779855353677,0.1675720537196318,1.0227885147896134,0.0008729156515642,1.004485234141863,0.0290794917405329
김,고구,0.163838419474334,0.2337978479449638,0.0391779855353677,0.2391257536606374,1.0227885147896132,0.0008729156515642,1.0070023472884075,0.0266464875583686
고구,냉동,0.2337978479449638,0.3855353677897336,0.0927147645087317,0.3965595291987325,1.0285944230543624,0.0025774252128218,1.0182688466260157,0.0362822160857249
냉동,고구,0.3855353677897336,0.2337978479449638,0.0927147645087317,0.2404831625183016,1.0285944230543624,0.0025774252128218,1.0088020623683658,0.0452418423924771
고구,드레,0.2337978479449638,0.045845828188393,0.0110425119068618,0.0472310245963482,1.0302142302296975,0.000323855939161,1.001453863889059,0.0382772406216542
드레,고구,0.045845828188393,0.2337978479449638,0.0110425119068618,0.2408618699499807,1.0302142302296975,0.000323855939161,1.0093053183938363,0.0307372802063591
라면,고구,0.1144822720056447,0.2337978479449638,0.0267948491797495,0.2340523882896764,1.0010887197934026,2.9140356979800303e-05,1.0003323208282409,0.0012281355158695
고구,라면,0.2337978479449638,0.1144822720056447,0.0267948491797495,0.1146069111211709,1.0010887197934026,2.9140356979800303e-05,1.0001407726320566,0.0014193849087542
고구,마른,0.2337978479449638,0.0910742635385429,0.022049744222967,0.0943111513505356,1.0355411911799086,0.0007567774044831,1.0035739512712556,0.0447941431071
마른,고구,0.0910742635385429,0.2337978479449638,0.022049744222967,0.242107301956227,1.0355411911799086,0.0007567774044831,1.010963892425288,0.0377603664098433
맛김,고구,0.0492326689010407,0.2337978479449638,0.011571705768213,0.2350412038695807,1.005318081135245,6.12137305628143e-05,1.001625389407778,0.0055638730796852
고구,맛김,0.2337978479449638,0.0492326689010407,0.011571705768213,0.0494944922287611,1.005318081135245,6.12137305628143e-05,1.0002754569285288,0.0069041162888376
고구,밤,0.2337978479449638,0.0844064208855177,0.0201799259128594,0.0863135657160102,1.0225947837911435,0.0004458863570885,1.0020873078103507,0.028837741823514
밤,고구,0.0844064208855177,0.2337978479449638,0.0201799259128594,0.2390804597701149,1.0225947837911435,0.0004458863570885,1.006942405268703,0.024132475750817
고구,생선,0.2337978479449638,0.1191038983947786,0.0288057858528841,0.1232080881243398,1.0344589034017808,0.0009595507263292,1.0046809165025044,0.0434755258167277
생선,고구,0.1191038983947786,0.2337978479449638,0.0288057858528841,0.2418542654028436,1.0344589034017808,0.0009595507263292,1.0106264760061738,0.0378149493246702
고구,소시,0.2337978479449638,0.0538542952901746,0.0130710883753748,0.0559076505205975,1.0381279751106045,0.0004800700339394,1.002174951668187,0.0479346410541005
소시,고구,0.0538542952901746,0.2337978479449638,0.0130710883753748,0.2427120864723223,1.0381279751106045,0.0004800700339394,1.0117712673979349,0.0388181492034586
고구,스낵,0.2337978479449638,0.1032633621449991,0.0255247839125066,0.1091745888033801,1.0572441816302731,0.0013820320714443,1.0066356735944932,0.0706663532101786
스낵,고구,0.1032633621449991,0.2337978479449638,0.0255247839125066,0.2471814144174923,1.0572441816302731,0.0013820320714443,1.0177779437554304,0.0603797253528467
고구,아몬,0.2337978479449638,0.0434291762215558,0.0103545598871053,0.0442885166742115,1.0197871690743516,0.0002009119484829,1.0008991630504065,0.0253239095590012
아몬,고구,0.0434291762215558,0.2337978479449638,0.0103545598871053,0.2384240454914703,1.0197871690743516,0.0002009119484829,1.0060745057917329,0.0202841582873198
고구,잼,0.2337978479449638,0.1068442406068089,0.0263538542952901,0.1127206880941602,1.0550001334089392,0.0013739007761043,1.0066229961732445,0.0680405571082563
잼,고구,0.1068442406068089,0.2337978479449638,0.0263538542952901,0.2466567607726597,1.0550001334089394,0.0013739007761043,1.0170691288620106,0.0583692382152789
고구,즉석,0.2337978479449638,0.1862056800141118,0.043676133356853,0.186811528595141,1.0032536525254403,0.0001416460944251,1.000745028492574,0.0042326957634808
즉석,고구,0.1862056800141118,0.2337978479449638,0.043676133356853,0.2345585449033725,1.0032536525254403,0.0001416460944251,1.000993801620416,0.0039851600377715
고구,커피,0.2337978479449638,0.170682660081143,0.0403598518257188,0.1726271314320205,1.0113923192312158,0.0004546132172257,1.0023501753861508,0.0147010761593137
커피,고구,0.170682660081143,0.2337978479449638,0.0403598518257188,0.2364613476643241,1.0113923192312158,0.0004546132172257,1.003488362653564,0.0135822509051761
미역,고등,0.0924148879872993,0.1605574175339566,0.0148879872993473,0.1610994464592479,1.0033759195533694,5.009154241667792e-05,1.0006461182115134,0.003707157622294
